refcode,total_charge,multiplicity,HOMO_eV,LUMO_eV,gap_eV
train_0000_ls,2,2,-13.7036540018713,-10.5335275300326,3.17012647183878
train_0000_hs,2,4,-13.8288263775834,-10.299509610223,3.52931676736043
train_0001_ls,2,2,-14.642446819712,-11.3580325265709,3.28441429314113
train_0001_hs,2,4,-14.4410825631317,-11.2709560912929,3.17012647183878
train_0002_ls,2,2,-16.0139006753401,-12.3185944532311,3.69530622210907
train_0002_hs,2,4,-16.3295527532228,-11.9784521279265,4.35110062529632
train_0003_ls,2,2,-12.5689392046552,-9.47500461368468,3.09393459097056
train_0003_hs,2,4,-13.1294937567572,-10.0818185220281,3.04767523472913
train_0004_ls,2,2,-12.3322001462432,-9.76888758274784,2.56331256349539
train_0004_hs,2,4,-12.6641790557405,-10.0410014429915,2.623177612749
train_0005_ls,2,2,-13.2845986570961,-10.4954315895984,2.78916706749764
train_0005_hs,2,4,-13.4097710328082,-10.8464584693128,2.56331256349539
train_0006_ls,2,2,-13.1703108357937,-10.4437299561521,2.7265808796416
train_0006_hs,2,4,-13.6710003386421,-10.4001917385132,3.27080860012894
train_0007_ls,2,2,-13.22201246924,-10.8246893604933,2.39732310874675
train_0007_hs,2,4,-13.352627122157,-10.6206039653105,2.73202315684647
train_0008_ls,2,2,-14.0029792481394,-11.7008959904779,2.30208325766147
train_0008_hs,2,4,-14.0329117727662,-11.4777626250781,2.55514914768809
train_0009_ls,2,2,-13.5948084577739,-12.6260831153064,0.968725342467472
train_0009_hs,2,4,-14.1716898414905,-12.1634895528922,2.00820028859831
train_0010_ls,3,1,-22.125577976413,-17.695564331646,4.43001364476699
train_0010_hs,3,5,-21.1405258023309,-19.4561410074226,1.68438479490834
train_0011_ls,3,1,-19.8561483819808,-16.5009844851763,3.35516389680448
train_0011_hs,3,5,-18.6343571494867,-16.7622137910102,1.87214335847646
train_0012_ls,2,1,-13.0369750442743,-9.56208104896265,3.4748939953117
train_0012_hs,2,5,-13.3063677659156,-9.28180377291167,4.02456399300391
train_0013_ls,2,1,-13.1430994497694,-9.88589654265262,3.25720290711676
train_0013_hs,2,5,-13.5594336559422,-9.83419490920632,3.72523874673588
train_0014_ls,2,1,-13.3281368747351,-10.3729803524888,2.95515652224628
train_0014_hs,2,5,-12.3022676216164,-9.33350540635797,2.96876221525847
train_0015_ls,2,1,-14.7512923638095,-11.9049813856607,2.84631097814881
train_0015_hs,2,5,-13.6138564279909,-10.7321706480104,2.88168577998049
train_0016_ls,2,1,-13.0179270740573,-10.3348844120547,2.68304266200261
train_0016_hs,2,5,-12.0845765334215,-9.47772575228711,2.60685078113438
train_0017_ls,2,1,-13.0832344005158,-10.0763762448232,3.00685815569258
train_0017_hs,2,5,-12.792072570055,-9.93215589889404,2.859916671161
train_0018_ls,2,1,-13.8941337040419,-11.1131300523516,2.78100365169033
train_0018_hs,2,5,-13.3852807853862,-10.5525755002496,2.83270528513663
train_0019_ls,2,1,-13.4941263294837,-10.5090372826106,2.98508904687309
train_0019_hs,2,5,-12.9798311336232,-10.2097120363426,2.77011909728058
train_0020_ls,2,1,-14.0601231587906,-11.3634748037758,2.6966483550148
train_0020_hs,2,5,-13.9022971198492,-11.0559861417004,2.84631097814881
train_0021_ls,2,1,-14.0846134062125,-12.2097489091336,1.8748644970789
train_0021_hs,2,5,-13.265550686879,-12.4029497499066,0.862600936972441
train_0022_ls,3,2,-16.8220788402638,-16.4438405745251,0.378238265738705
train_0022_hs,3,4,-17.7499871036948,-15.1322517681506,2.61773533554413
train_0023_ls,3,2,-17.6302570051875,-15.1649054313799,2.46535157380767
train_0023_hs,3,4,-17.8969285882263,-14.8084362744607,3.08849231376568
train_0024_ls,3,2,-21.415360801177,-17.6411415595973,3.77421924157974
train_0024_hs,3,4,-21.6711478298061,-17.4288927486072,4.24225508119886
train_0025_ls,3,2,-19.2738247210593,-15.9186608242548,3.35516389680448
train_0025_hs,3,4,-19.1677003155643,-15.4479038460333,3.719796469531
train_0026_ls,2,1,-14.0410751885735,-8.97159397223388,5.06948121633962
train_0026_hs,2,5,-13.8097784073664,-9.72534936510885,4.08442904225752
train_0027_ls,2,1,-14.7567346410144,-10.1879429275231,4.56879171349126
train_0027_hs,2,5,-14.6887061759534,-10.879112132542,3.80959404341141
train_0028_ls,2,1,-13.5975295963763,-9.42330298023838,4.17422661613794
train_0028_hs,2,5,-13.3825596467838,-10.623325103913,2.75923454287084
train_0029_ls,2,1,-14.0492386043808,-8.84097931931692,5.20825928506389
train_0029_hs,2,5,-13.6138564279909,-10.0818185220281,3.53203790596287
train_0030_ls,2,1,-14.7376866707973,-9.74711847392835,4.99056819686895
train_0030_hs,2,5,-13.7145385562811,-10.7920356972641,2.92250285901704
train_0031_ls,2,1,-13.676442615847,-9.30357288173116,4.37286973411582
train_0031_hs,2,5,-13.352627122157,-10.2913461944157,3.06128092774132
train_0032_ls,3,2,-21.9922421848936,-17.7744773511167,4.21776483377692
train_0032_hs,3,6,-21.4833892662379,-18.4302717543039,3.05311751193401
train_0033_ls,3,2,-18.6261937336794,-14.5635338002413,4.06265993343803
train_0033_hs,3,6,-17.2057593832074,-14.7376866707973,2.46807271241011
train_0034_ls,3,2,-19.633015016581,-16.4628885447422,3.17012647183878
train_0034_hs,3,6,-18.6343571494867,-16.5281958712007,2.10616127828602
train_0035_ls,2,2,-14.6206777108925,-10.1552892642939,4.46538844659867
train_0035_hs,2,6,-14.4410825631317,-9.92399248308674,4.51709008004496
train_0036_ls,2,2,-15.2410973122481,-12.4628147991602,2.7782825130879
train_0036_hs,2,6,-15.8533534977964,-11.9648464349143,3.88850706288208
train_0037_ls,2,2,-13.0070425196475,-9.68997456327718,3.31706795637037
train_0037_hs,2,6,-12.5961505906796,-9.17023709021176,3.42591350046783
train_0038_ls,2,2,-13.5539913787373,-10.4954315895984,3.05855978913888
train_0038_hs,2,6,-13.3471848449521,-9.86684857243556,3.48033627251657
train_0039_ls,2,2,-13.4206555872179,-9.28724605011654,4.13340953710139
train_0039_hs,2,6,-13.5621547945446,-9.25731352548974,4.3048412690549
train_0040_ls,2,2,-14.1471995940685,-10.2151543135475,3.93204528052107
train_0040_hs,2,6,-13.4859629136764,-9.85596401802582,3.62999889565059
train_0041_ls,2,2,-13.9213450900663,-10.4682202035741,3.45312488649221
train_0041_hs,2,6,-14.125430485249,-10.5416909458399,3.58373953940916
train_0042_ls,3,1,-18.6017034862575,-15.9921315665206,2.60957191973682
train_0042_hs,3,5,-17.5214114610901,-16.44928285173,1.07212860936007
train_0043_ls,3,1,-19.6003613533517,-16.9200398299516,2.68032152340017
train_0043_hs,3,5,-18.1227830922286,-16.835684533276,1.28709855895257
train_0044_ls,2,2,-12.9526197475988,-9.23554441667024,3.71707533092857
train_0044_hs,2,4,-13.1104457865401,-9.55391763315534,3.5565281533848
train_0045_ls,2,2,-16.941808938771,-12.8247262332843,4.11708270548677
train_0045_hs,2,4,-17.265624432461,-12.879149005333,4.386475427128
train_0046_ls,2,2,-12.8464953421038,-11.202927626232,1.64356771587178
train_0046_hs,2,4,-13.4669149434593,-11.3226577247392,2.14425721872014
train_0047_ls,2,2,-13.246502716662,-10.8274104990957,2.41909221756625
train_0047_hs,2,4,-13.2573872710717,-10.6287673811178,2.62861988995388
train_0048_ls,3,1,-20.7133070417483,-16.9690203247954,3.74428671695293
train_0048_hs,3,5,-19.7581873922931,-17.7935253213337,1.96466207095931
train_0049_ls,3,1,-17.2819512640756,-14.2016223661173,3.08032889795837
train_0049_hs,3,5,-15.9241031014597,-15.309125777309,0.614977324150701
train_0050_ls,3,1,-18.922797841345,-14.7812248884363,4.14157295290869
train_0050_hs,3,5,-18.0329855183482,-16.4302348815129,1.60275063683523
train_0051_ls,2,1,-13.483241775074,-11.159389408593,2.32385236648096
train_0051_hs,2,5,-13.0152059354549,-10.2450868381743,2.77011909728059
train_0052_ls,3,2,-21.203111990187,-19.2955938298788,1.90751816030814
train_0052_hs,3,4,-21.6684266912036,-18.3758489822552,3.29257770894844
train_0053_ls,2,1,-13.9893735551272,-11.0804763891223,2.90889716600486
train_0053_hs,2,5,-13.2138490534327,-10.9879576766395,2.22589137679324
train_0054_ls,2,1,-14.449245978939,-10.6042771336959,3.84496884524309
train_0054_hs,2,5,-14.1608052870807,-10.5117584212131,3.64904686586765
train_0055_ls,2,1,-15.7172965676745,-11.1512259927857,4.56607057488882
train_0055_hs,2,5,-15.1812322629945,-12.0600862859996,3.12114597699492
train_0056_ls,2,1,-13.3226945975302,-10.7621031726372,2.56059142489296
train_0056_hs,2,5,-13.2356181622522,-10.598834856491,2.63678330576118
train_0057_ls,3,2,-20.2915305583707,-17.2139227990147,3.07760775935593
train_0057_hs,3,6,-19.975878480488,-17.3173260659073,2.65855241458068
train_0058_ls,3,2,-19.739139422076,-16.0111795367377,3.72795988533832
train_0058_hs,3,6,-18.2452343293382,-15.8832860224232,2.36194830691507
train_0059_ls,3,2,-16.8057520086492,-13.9159028128614,2.8898491957878
train_0059_hs,3,6,-16.1363519124498,-14.106382515032,2.0299693974178
train_0060_ls,3,2,-18.7649718024037,-15.0751078574995,3.6898639449042
train_0060_hs,3,6,-18.1200619536262,-15.4206924600089,2.69936949361723
train_0061_ls,2,2,-12.3947863340993,-8.39199144991486,4.00279488418442
train_0061_hs,2,6,-12.9771099950207,-8.16885808451505,4.80825191050569
train_0062_ls,3,1,-17.9812838849019,-15.8778437452183,2.10344013968359
train_0062_hs,3,5,-17.2302496306293,-15.4016444897919,1.82860514083748
train_0063_ls,2,2,-13.7880092985469,-9.29813060452629,4.4898786940206
train_0063_hs,2,4,-14.7839460270387,-10.6532576285398,4.13068839849895
train_0064_ls,2,2,-13.9403930602833,-10.2450868381743,3.69530622210907
train_0064_hs,2,4,-14.5063898895902,-11.2791195071002,3.22727038248996
train_0065_ls,2,2,-12.8111205402721,-8.61240367671223,4.19871686355987
train_0065_hs,2,4,-13.632904398208,-9.07499723912648,4.55790715908151
train_0066_ls,2,2,-13.0995612321304,-8.95254600201682,4.14701523011357
train_0066_hs,2,4,-13.956719891898,-10.0790973834256,3.87762250847233
train_0067_ls,2,2,-13.1294937567572,-9.51582169272122,3.61367206403597
train_0067_hs,2,4,-13.2873197956985,-9.9512038691111,3.33611592658743
train_0068_ls,2,2,-12.9498986089964,-8.69403783478533,4.25586077421104
train_0068_hs,2,4,-13.9349507830785,-9.37976476259939,4.55518602047908
train_0069_ls,2,2,-15.0261273626556,-10.405634015718,4.62049334693756
train_0069_hs,2,4,-15.6683160728307,-10.6804690145641,4.98784705826651
train_0070_ls,2,2,-19.6656686798102,-15.1485785997652,4.51709008004496
train_0070_hs,2,4,-20.2044541230927,-15.1349729067531,5.06948121633962
train_0071_ls,2,2,-13.6601157842324,-9.34711109937015,4.31300468486221
train_0071_hs,2,4,-14.4465248403366,-10.0600494132086,4.386475427128
train_0072_ls,2,2,-14.7703403340265,-10.1988274819328,4.5715128520937
train_0072_hs,2,4,-15.05333874868,-10.0546071360037,4.99873161267626
train_0073_ls,2,2,-14.2179491977319,-10.0301168885818,4.18783230915012
train_0073_hs,2,4,-14.386659791083,-10.6206039653105,3.76605582577243
train_0074_ls,2,2,-13.7934515757518,-10.3539323822717,3.43951919348002
train_0074_hs,2,4,-14.0274694955613,-10.1307990168719,3.89667047868939
train_0075_ls,2,2,-12.2043066319287,-9.1511891199947,3.05311751193401
train_0075_hs,2,4,-12.7049961347771,-9.6246672368187,3.08032889795837
train_0076_ls,2,2,-12.2614505425799,-8.94438258620951,3.31706795637037
train_0076_hs,2,4,-12.5879871748723,-9.64099406843332,2.94699310643897
train_0077_ls,2,2,-12.0056635139508,-9.66004203865037,2.34562147530046
train_0077_hs,2,4,-12.3539692550627,-9.72807050371129,2.62589875135144
train_0078_ls,2,2,-12.623361976704,-10.1471258484865,2.47623612821742
train_0078_hs,2,4,-12.966225440611,-10.4709413421765,2.49528409843448
train_0079_ls,2,2,-13.7335865264981,-11.7226650992974,2.01092142720074
train_0079_hs,2,4,-13.9975369709345,-11.458714654861,2.53882231607346
train_0080_ls,2,2,-14.449245978939,-11.6872902974657,2.76195568147328
train_0080_hs,2,4,-14.9390509273776,-11.4723203478732,3.46673057950439
train_0081_ls,2,2,-13.7145385562811,-10.8519007465177,2.86263780976343
train_0081_hs,2,4,-13.8478743478005,-10.9172080729761,2.93066627482435
train_0082_ls,3,1,-21.7092437702402,-14.6778216215437,7.03142214869649
train_0082_hs,3,5,-20.4602411517217,-17.8642749249971,2.59596622672464
train_0083_ls,3,1,-20.6507208538923,-14.318631326022,6.33208952787026
train_0083_hs,3,5,-19.246613335035,-17.0370487898563,2.20956454517862
train_0084_ls,3,1,-17.3064415114976,-12.6777847487527,4.62865676274487
train_0084_hs,3,5,-16.4003023568861,-14.0927768220198,2.30752553486634
