refcode,total_charge,multiplicity,splitting,low_spin,high_spin
train_0000_ls,2,4,-22.7727881844425,2,4
train_0001_ls,2,4,-19.3737706065458,2,4
train_0002_ls,2,4,-17.4557445389397,2,4
train_0003_ls,2,2,9.99462489139146,2,4
train_0004_ls,2,2,7.43615211184861,2,4
train_0005_ls,2,2,6.37785983207596,2,4
train_0006_ls,2,4,-6.98722524588228,2,4
train_0007_ls,2,4,-12.3373585330361,2,4
train_0008_ls,2,4,-9.89887648400357,2,4
train_0009_ls,2,2,8.35118103076511,2,4
train_0010_ls,3,1,5.72864687610421,1,5
train_0011_ls,3,1,36.2193916375537,1,5
train_0012_ls,2,5,-49.1789901331695,1,5
train_0013_ls,2,5,-51.0107057872717,1,5
train_0014_ls,2,5,-28.650884976089,1,5
train_0015_ls,2,5,-33.9340766819885,1,5
train_0016_ls,2,5,-34.3417651943318,1,5
train_0017_ls,2,5,-45.1700217381052,1,5
train_0018_ls,2,5,-34.8773799216812,1,5
train_0019_ls,2,5,-44.7812918557108,1,5
train_0020_ls,2,5,-50.6061024247329,1,5
train_0021_ls,2,5,-37.996469916167,1,5
train_0022_ls,3,4,-27.9105614724345,2,4
train_0023_ls,3,4,-27.9449528195695,2,4
train_0024_ls,3,4,-23.3659639168134,2,4
train_0025_ls,3,4,-26.543445299044,2,4
train_0026_ls,2,5,-27.8232717670586,1,5
train_0027_ls,2,5,-27.174697364923,1,5
train_0028_ls,2,1,15.1938004206967,1,5
train_0029_ls,2,5,-6.93384163418962,1,5
train_0030_ls,2,5,-3.55736407122589,1,5
train_0031_ls,2,5,-17.6697234495516,1,5
train_0032_ls,3,6,-10.1410782608011,2,6
train_0033_ls,3,2,27.4407205307173,2,6
train_0034_ls,3,2,15.1911520796411,2,6
train_0035_ls,2,6,-50.3303842376521,2,6
train_0036_ls,2,6,-34.006047939615,2,6
train_0037_ls,2,6,-17.6887706843851,2,6
train_0038_ls,2,6,-18.2099480498797,2,6
train_0039_ls,2,6,-36.2012287522572,2,6
train_0040_ls,2,6,-35.2442089080595,2,6
train_0041_ls,2,6,-46.8969055967412,2,6
train_0042_ls,3,5,-43.8795040145694,1,5
train_0043_ls,3,5,-34.8283126971221,1,5
train_0044_ls,2,4,-14.9167972818728,2,4
train_0045_ls,2,4,-21.5126085988515,2,4
train_0046_ls,2,2,4.41180908386908,2,4
train_0047_ls,2,4,-7.33969449356249,2,4
train_0048_ls,3,5,-11.16123070365,1,5
train_0049_ls,3,1,35.6539152401009,1,5
train_0050_ls,3,1,23.5278909168651,1,5
train_0051_ls,2,5,-35.9663930582019,1,5
train_0052_ls,3,4,-21.7139293886018,2,4
train_0053_ls,2,1,6.9847640910063,1,5
train_0054_ls,2,5,-23.5305979927142,1,5
train_0055_ls,2,5,-11.5625048146416,1,5
train_0056_ls,2,5,-10.2990426638286,1,5
train_0057_ls,3,6,-22.0777318966195,2,6
