dataset,repr,prop,kernel,fold,mae,stdev,eta,sigma
OctaKulik,SLATM,splitting,L,0,5.21044995e+00,1.81519771e-01,1.00000000e-10,1.00000000e+08
OctaKulik,SLATM,splitting,G,0,5.22805313e+00,4.74051766e-01,3.16227766e-08,1.00000000e+08
OctaKulik,FCHL_global,splitting,L,0,7.43410554e+00,1.55906668e-01,1.00000000e-05,1.00000000e+06
OctaKulik,FCHL_global,splitting,G,0,6.66638824e+00,1.13225502e-01,1.00000000e-05,3.16227766e+04
OctaKulik,SOAP_global,splitting,L,0,6.71488685e+00,2.87799179e-01,1.00000000e-10,1.00000000e+07
OctaKulik,SOAP_global,splitting,G,0,5.73074049e+00,2.34397579e-01,1.00000000e-05,3.16227766e+04
OctaKulik,SPAHM_e,splitting,L,0,9.17421704e+00,7.26170015e-01,1.00000000e-05,3.16227766e+03
OctaKulik,SPAHM_e,splitting,G,0,1.22930517e+01,4.78897463e-01,3.16227766e-03,1.00000000e+05
OctaKulik,SPAHM_a_global,splitting,L,0,4.92742245e+00,3.81405351e-01,3.16227766e-08,1.00000000e+08
OctaKulik,SPAHM_a_global,splitting,G,0,4.67371196e+00,4.22001729e-01,1.00000000e-10,1.00000000e+09
OctaKulik,SPAHM_b_global,splitting,L,0,6.53180368e+00,2.26217212e-01,1.00000000e-10,1.00000000e+02
OctaKulik,SPAHM_b_global,splitting,G,0,4.75545890e+00,1.69159802e-01,1.00000000e-10,3.16227766e+02
OctaKulik,aSLATM,splitting,L,0,4.88765415e+00,3.23986673e-01,3.16227766e-03,1.00000000e+02
OctaKulik,aSLATM,splitting,G,0,4.78400961e+00,2.71831544e-01,3.16227766e-03,1.00000000e+02
OctaKulik,FCHL,splitting,L,0,1.24151440e+01,5.07031852e-01,1.00000000e-05,1.00000000e+05
OctaKulik,FCHL,splitting,G,0,1.11645543e+01,6.82386321e-01,3.16227766e-08,1.00000000e+05
OctaKulik,SOAP,splitting,L,0,6.47523770e+00,1.66648320e-01,3.16227766e-03,3.16227766e+02
OctaKulik,SOAP,splitting,G,0,5.56133329e+00,1.79613157e-01,3.16227766e-03,3.16227766e+01
OctaKulik,SPAHM_a,splitting,L,0,5.00267098e+00,2.90697613e-01,3.16227766e-03,1.00000000e+03
OctaKulik,SPAHM_a,splitting,G,0,3.80368343e+00,2.60684607e-01,1.00000000e-10,1.00000000e+05
OctaKulik,SPAHM_b,splitting,L,0,6.77393682e+00,4.28326117e-01,1.00000000e-10,1.00000000e-01
OctaKulik,SPAHM_b,splitting,G,0,5.85020656e+00,4.05893776e-01,1.00000000e-10,1.00000000e+00
