dataset,repr,prop,kernel,fold,mae,stdev,eta,sigma
TM-GSspinPlus,SLATM,splitting,L,0,1.25590412e+01,6.87274579e-01,1.00000000e-10,1.00000000e+05
TM-GSspinPlus,SLATM,splitting,G,0,1.01555832e+01,3.79357132e-01,3.16227766e-08,1.00000000e+08
TM-GSspinPlus,SLATM,HOMO,L,0,1.22372468e+00,1.04913377e-02,1.00000000e-10,1.00000000e+03
TM-GSspinPlus,SLATM,HOMO,G,0,1.08699880e+00,2.05683763e-02,1.00000000e-05,1.00000000e+06
TM-GSspinPlus,SLATM,LUMO,L,0,1.23882026e+00,2.79190594e-02,1.00000000e-10,1.00000000e+03
TM-GSspinPlus,SLATM,LUMO,G,0,1.12817754e+00,1.91212174e-02,1.00000000e-05,1.00000000e+06
TM-GSspinPlus,SLATM,gap,L,0,4.01561444e-01,1.33854781e-02,3.16227766e-03,1.00000000e+03
TM-GSspinPlus,SLATM,gap,G,0,4.22810940e-01,5.56918450e-03,3.16227766e-03,1.00000000e+05
TM-GSspinPlus,SLATM,dipole_moment_Debye,L,0,2.58945752e+00,1.00672763e-01,3.16227766e-03,1.00000000e+03
TM-GSspinPlus,SLATM,dipole_moment_Debye,G,0,3.08112028e+00,1.05908224e-01,3.16227766e-03,1.00000000e+05
TM-GSspinPlus,FCHL_global,splitting,L,0,1.84121762e+01,1.18997042e+00,1.00000000e-10,1.00000000e+04
TM-GSspinPlus,FCHL_global,splitting,G,0,1.41436508e+01,6.51883486e-01,1.00000000e-05,3.16227766e+05
TM-GSspinPlus,FCHL_global,HOMO,L,0,1.46805189e+00,3.65045376e-02,3.16227766e-03,1.00000000e+03
TM-GSspinPlus,FCHL_global,HOMO,G,0,1.40431609e+00,7.18409464e-02,1.00000000e-05,1.00000000e+06
TM-GSspinPlus,FCHL_global,LUMO,L,0,1.44980458e+00,3.27971943e-02,3.16227766e-03,1.00000000e+03
TM-GSspinPlus,FCHL_global,LUMO,G,0,1.40282020e+00,5.45443221e-02,1.00000000e-05,1.00000000e+06
TM-GSspinPlus,FCHL_global,gap,L,0,4.47737260e-01,2.40973590e-02,3.16227766e-03,3.16227766e+04
TM-GSspinPlus,FCHL_global,gap,G,0,4.37164519e-01,2.87531514e-02,1.00000000e-05,3.16227766e+06
TM-GSspinPlus,FCHL_global,dipole_moment_Debye,L,0,2.62897007e+00,9.19586844e-02,1.00000000e-05,1.00000000e+03
TM-GSspinPlus,FCHL_global,dipole_moment_Debye,G,0,2.71713621e+00,7.50127230e-02,3.16227766e-03,1.00000000e+04
