dataset,repr,prop,kernel,fold,mae,stdev,eta,sigma
tmPHOTO,SLATM,HOMO,L,0,1.61528298e-02,1.00217844e-03,1.00000000e-10,1.00000000e+04
tmPHOTO,SLATM,HOMO,G,0,1.49410662e-02,7.33445160e-04,3.16227766e-08,1.00000000e+08
tmPHOTO,SLATM,LUMO,L,0,1.64494213e-02,8.21926256e-04,1.00000000e-10,1.00000000e+04
tmPHOTO,SLATM,LUMO,G,0,1.56584278e-02,8.07332419e-04,3.16227766e-08,1.00000000e+08
tmPHOTO,SLATM,gap,L,0,9.39955023e-03,1.47206005e-04,3.16227766e-03,3.16227766e+03
tmPHOTO,SLATM,gap,G,0,1.03546529e-02,3.45009078e-05,3.16227766e-08,3.16227766e+08
tmPHOTO,SLATM,dipole_moment_Debye,L,0,1.77632434e+00,3.91968604e-02,3.16227766e-03,3.16227766e+03
tmPHOTO,SLATM,dipole_moment_Debye,G,0,2.01753597e+00,5.69047785e-02,1.00000000e-05,1.00000000e+06
tmPHOTO,FCHL_global,HOMO,L,0,2.32824207e-02,1.68351652e-03,3.16227766e-03,1.00000000e+03
tmPHOTO,FCHL_global,HOMO,G,0,2.37292670e-02,8.46974663e-04,1.00000000e-05,3.16227766e+05
tmPHOTO,FCHL_global,LUMO,L,0,2.46013553e-02,1.52721759e-03,3.16227766e-03,1.00000000e+03
tmPHOTO,FCHL_global,LUMO,G,0,2.41017092e-02,8.73690475e-04,1.00000000e-05,1.00000000e+05
tmPHOTO,FCHL_global,gap,L,0,1.21453888e-02,1.69371269e-04,3.16227766e-03,3.16227766e+03
tmPHOTO,FCHL_global,gap,G,0,1.19321849e-02,2.27343849e-04,1.00000000e-05,3.16227766e+05
tmPHOTO,FCHL_global,dipole_moment_Debye,L,0,2.05466858e+00,5.52330639e-02,3.16227766e-03,3.16227766e+03
tmPHOTO,FCHL_global,dipole_moment_Debye,G,0,2.24473413e+00,6.01771971e-02,1.00000000e-05,3.16227766e+05
tmPHOTO,SOAP_global,HOMO,L,0,2.05257145e-02,1.27455537e-03,1.00000000e-10,3.16227766e+03
tmPHOTO,SOAP_global,HOMO,G,0,2.07461297e-02,8.08433465e-04,1.00000000e-05,3.16227766e+05
tmPHOTO,SOAP_global,LUMO,L,0,2.13201246e-02,1.02328744e-03,1.00000000e-10,3.16227766e+03
tmPHOTO,SOAP_global,LUMO,G,0,2.13729550e-02,7.65894764e-04,1.00000000e-05,3.16227766e+05
tmPHOTO,SOAP_global,gap,L,0,1.03066364e-02,2.96475130e-04,1.00000000e-10,3.16227766e+03
tmPHOTO,SOAP_global,gap,G,0,1.06667097e-02,2.44091421e-04,1.00000000e-05,3.16227766e+05
tmPHOTO,SOAP_global,dipole_moment_Debye,G,0,2.08877828e+00,4.79441258e-02,1.00000000e-05,1.00000000e+06
tmPHOTO,SPAHM_e,HOMO,L,0,1.30428967e-02,4.16675462e-04,3.16227766e-03,1.00000000e+04
tmPHOTO,SPAHM_e,LUMO,L,0,1.73402440e-02,5.55967500e-04,3.16227766e-03,1.00000000e+04
tmPHOTO,SPAHM_e,gap,L,0,1.78106282e-02,8.11753852e-04,3.16227766e-03,1.00000000e+05
tmPHOTO,SPAHM_e,dipole_moment_Debye,L,0,2.93964817e+00,5.91409358e-02,1.00000000e+00,1.00000000e+03
tmPHOTO,SPAHM_e,dipole_moment_Debye,G,0,3.14109305e+00,2.37072771e-02,1.00000000e+00,1.00000000e+05
tmPHOTO,SPAHM_a_global,HOMO,L,0,2.40270310e-02,1.52281311e-03,1.00000000e-05,1.00000000e+06
tmPHOTO,SPAHM_a_global,HOMO,G,0,3.01262212e-02,6.14378829e-04,3.16227766e-03,3.16227766e+05
tmPHOTO,SPAHM_a_global,LUMO,L,0,2.59026588e-02,8.07270464e-04,1.00000000e-05,1.00000000e+06
tmPHOTO,SPAHM_a_global,LUMO,G,0,3.15683221e-02,1.01572677e-03,3.16227766e-03,3.16227766e+05
tmPHOTO,SPAHM_a_global,gap,L,0,1.29865119e-02,3.33897392e-04,1.00000000e-05,3.16227766e+06
tmPHOTO,SPAHM_a_global,gap,G,0,1.55432444e-02,1.33574106e-04,3.16227766e-03,3.16227766e+05
tmPHOTO,SPAHM_a_global,dipole_moment_Debye,L,0,2.38945510e+00,2.35878394e-02,3.16227766e-03,3.16227766e+04
tmPHOTO,SPAHM_a_global,dipole_moment_Debye,G,0,2.79188383e+00,1.12147735e-01,3.16227766e-03,3.16227766e+05
tmPHOTO,SPAHM_b_global,HOMO,L,0,2.11740968e-02,9.88477091e-04,1.00000000e-10,3.16227766e+01
tmPHOTO,SPAHM_b_global,HOMO,G,0,1.32464644e-02,2.55793866e-04,1.00000000e-10,3.16227766e+02
tmPHOTO,SPAHM_b_global,LUMO,L,0,2.22040342e-02,4.16835026e-04,3.16227766e-08,3.16227766e+01
tmPHOTO,SPAHM_b_global,LUMO,G,0,1.48171363e-02,4.95484483e-04,1.00000000e-10,3.16227766e+02
tmPHOTO,SPAHM_b_global,gap,L,0,1.17534801e-02,3.57102173e-04,3.16227766e-03,1.00000000e+01
tmPHOTO,SPAHM_b_global,gap,G,0,1.19188152e-02,2.40748977e-04,1.00000000e-10,3.16227766e+03
tmPHOTO,SPAHM_b_global,dipole_moment_Debye,L,0,2.21525657e+00,5.20278421e-02,3.16227766e-03,3.16227766e+01
tmPHOTO,SPAHM_b_global,dipole_moment_Debye,G,0,2.29929804e+00,9.93362215e-02,1.00000000e-10,3.16227766e+03
