refcode,total_charge,multiplicity,HOMO_Ha,LUMO_Ha,gap_Ha,dipole_moment_Debye
ABIPIK,0,1,-0.16783,-0.0875,0.08033,0.4901
ABISOV,0,1,-0.15192,-0.07883,0.07309,15.3955
ABITEM,0,1,-0.1514,-0.07863,0.07277,15.3991
ABIVAK,0,1,-0.15184,-0.07877,0.07307,15.3993
ABOXOG,1,1,-0.28188,-0.19897,0.08291,9.3483
ABOYAT,1,1,-0.26066,-0.18592,0.07474,4.621
ABOYOH,1,1,-0.32586,-0.17465,0.15121,4.739
ACASOO,0,1,-0.17976,-0.10449,0.07527,3.5726
ACIPAG,1,1,-0.3241,-0.15193,0.17217,13.2821
ACOWAS,0,1,-0.19324,-0.04341,0.14983,0.0006
ACOWIA,0,1,-0.19354,-0.05759,0.13595,0.009
ACOXEX,0,1,-0.19699,-0.05813,0.13886,0.0055
ACUQUN,0,1,-0.16406,-0.08382,0.08024,3.1489
ACURAU,0,1,-0.16845,-0.08682,0.08163,3.2729
ACUSOJ,1,1,-0.2719,-0.17168,0.10022,12.3432
ACUTEA,1,1,-0.32856,-0.21988,0.10868,9.5274
ACUTIE,1,1,-0.32601,-0.21843,0.10758,9.9038
ADAPON,0,1,-0.17145,-0.06956,0.10189,1.5296
ADAPUT,0,1,-0.16988,-0.06676,0.10312,1.5344
ADOPUE,0,1,-0.20025,-0.07696,0.12329,0.0204
ADOWOG,0,1,-0.17539,-0.16922,0.00617,0.4817
ADOWUM,0,1,-0.19766,-0.05533,0.14233,9.6808
ADOXAT,0,1,-0.18764,-0.05768,0.12996,0.0186
ADOXEX,0,1,-0.1935,-0.04963,0.14387,0.0031
ADOXIB,0,1,-0.19976,-0.05127,0.14849,8.2686
ADOYAW,0,1,-0.15916,-0.04634,0.11282,3.0323
ADUSEZ,0,1,-0.19138,-0.05617,0.13521,0.015
AFEKIG,0,1,-0.16481,-0.06543,0.09938,5.1117
AFIMEK,0,1,-0.21375,-0.13324,0.08051,11.4945
AFIROW,0,1,-0.17747,-0.04756,0.12991,0.004
AFUGEQ,1,1,-0.3012,-0.22042,0.08078,5.3624
AFUJIV,0,1,-0.1688,-0.07041,0.09839,2.5407
AFUPUO,0,1,-0.17125,-0.08493,0.08632,0.002
AFUZAE,0,1,-0.18482,-0.08072,0.1041,0.5608
AGEJUS,0,1,-0.18148,-0.07704,0.10444,2.0891
AGOBEE,0,1,-0.19988,-0.06612,0.13376,8.6794
AGOBOO,0,1,-0.19755,-0.06788,0.12967,7.3364
AGOQET,0,1,-0.171,-0.06791,0.10309,7.5694
AHAQUX,0,1,-0.19645,-0.09811,0.09834,3.9528
